001.0;COLERA.POR VIBRIO CHOLERAE
001.1;COLERA.POR VIBRIO CHOLERAE EL TOR
001.9;COLERA.NEOM
2;FIEBRE TIFOIDEA Y PARATIFOIDEA
002.0;FIEBRE TIFOIDEA
002.1;FIEBRE PARATIFOIDEA A
002.2;FIEBRE PARATIFOIDEA B
002.3;FIEBRE PARATIFOIDEA C
002.9;FIEBRE PARATIFOIDEA NEOM
3;INFECCION POR SALMONELLA OTRA
003.0;GASTRITIS,ENTERITIS Y COLITIS POR SALMONELLA
003.1;SEPTICEMIA POR SALMONELLA
003.2;INFECCION POR SALMONELLA LOCALIZADA (+)
003.20;INFECCION POR SALMONELLA LOCALIZADA.NEOM
003.21;MENINGITIS POR SALMONELLA
003.22;NEUMONIA POR SALMONELLA
003.23;ARTRITIS POR SALMONELLA
003.24;OSTEOMIELITIS POR SALMONELLA
003.29;INFECCION POR SALMONELLA LOCALIZADA.OTRA
003.8;INFECCION POR SALMONELLA OTRA
003.9;INFECCION POR SALMONELLA NEOM
4;INFECCION POR SHIGELLA
004.0;INFECCION POR SHIGELLA.DYSENTERIAE
004.1;INFECCION POR SHIGELLA.FLEXNERI
004.2;INFECCION POR SHIGELLA.BOYDII
004.3;INFECCION POR SHIGELLA.SONNEI
004.8;INFECCION POR SHIGELLA.OTRA
004.9;INFECCION POR SHIGELLA.NEOM
5;INTOXICACION ALIMENTARIA POR BACTERIA OTRA
005.0;INTOXICACION ALIMENTARIA POR ESTAFILOCOCO
005.1;BOTULISMO
005.2;INTOXICACION ALIMENTARIA POR CLOSTRIDIUM PERFRINGENS
005.3;INTOXICACION ALIMENTARIA POR CLOSTRIDIUM OTRA
005.4;INTOXICACION ALIMENTARIA POR VIBRIO PARAHAEMOLITICUS
005.8;INTOXICACION ALIMENTARIA POR BACTERIA OTRA (+)
005.81;INTOXICACION ALIMENTARIA POR VIBRIO VULNIFICUS
005.89;INTOXICACION ALIMENTARIA POR BACTERIA OTRA.NEOM
005.9;INTOXICACION ALIMENTARIA POR BACTERIA NEOM
6;INFECCION POR AMEBA
006.0;DISENTERIA POR AMEBA AGUDA SIN ABSCESO
006.1;DISENTERIA POR AMEBA CRONICA SIN ABSCESO
006.2;COLITIS POR AMEBA SIN DISENTERIA
006.3;ABSCESO HIGADO POR AMEBA
006.4;ABSCESO PULMON POR AMEBA
006.5;ABSCESO CEREBRO POR AMEBA
006.6;ULCERA PIEL POR AMEBA
006.8;INFECCION POR AMEBA.OTRA
006.9;INFECCION POR AMEBA.NEOM
7;INFECCION POR PROTOZOO INTESTINO OTRA
007.0;INFECCION POR BALANTIDIUM
007.1;INFECCION POR GIARDIA
007.2;INFECCION POR COCCIDIUM
007.3;INFECCION POR TRICHOMONA INTESTINO
007.4;CRYPTOSPORIDIOSIS
007.5;CICLOSPORIASIS
007.8;INFECCION POR PROTOZOO INTESTINO OTRA
007.9;INFECCION POR PROTOZOO INTESTINO NEOM
8;INFECCION POR ORGANISMO INTESTINO OTRO
008.0;INFECCION POR ESCHERICHIA COLI INTESTINO (+)
008.00;INFECCION POR ESCHERICHIA COLI INTESTINO.NEOM
008.01;INFECCION POR ESCHERICHIA COLI INTESTINO.ENTEROPATOGENICO
008.02;INFECCION POR ESCHERICHIA COLI INTESTINO.ENTEROTOXIGENICO
008.03;INFECCION POR ESCHERICHIA COLI INTESTINO.ENTEROINVASIVO
008.04;INFECCION POR ESCHERICHIA COLI INTESTINO.ENTEROHEMORRAGICO
008.09;INFECCION POR ESCHERICHIA COLI INTESTINO.OTRA
008.1;INFECCION POR GRUPO ARIZONA PARACOLON INTESTINO
008.2;INFECCION POR AEROBACTER AEROGENES INTESTINO
008.3;INFECCION POR PROTEUS INTESTINO (MIRABILIS)(MORGANII)
008.4;INFECCION POR BACTERIA INTESTINO OTRA (+)
008.41;INFECCION POR ESTAFILOCOCO INTESTINO
008.42;INFECCION POR PSEUDOMONAS INTESTINO
008.43;INFECCION POR CAMPYLOBACTER INTESTINO
008.44;INFECCION POR YERSINIA ENTEROCOLITICA INTESTINO
008.45;INFECCION POR CLOSTRIDIUM DIFFICILE INTESTINO
008.46;INFECCION POR ANAEROBIO INTESTINO OTRA
008.47;INFECCION POR BACTERIA GRAMNEGATIVA INTESTINO OTRA
008.49;INFECCION POR BACTERIA INTESTINO OTRA
008.5;INFECCION POR BACTERIA INTESTINO NEOM
008.6;INFECCION POR VIRUS INTESTINO (+)
008.61;INFECCION POR ROTAVIRUS INTESTINO
008.62;INFECCION POR ADENOVIRUS INTESTINO
008.63;INFECCION POR VIRUS DE NORWALK INTESTINO
008.64;INFECCION POR VIRUS REDONDO PEQUENO [SRV] INTESTINO OTRA
008.65;INFECCION POR CALCIVIRUS INTESTINO
008.66;INFECCION POR ASTROVIRUS INTESTINO
008.67;INFECCION POR ENTEROVIRUS NCOC INTESTINO
008.69;INFECCION POR VIRUS INTESTINO.OTRA
008.8;INFECCION POR ORGANISMO INTESTINO OTRO.OTRO
9;INFECCION INTESTINO MAL DEFINIDA
009.0;GASTRITIS,ENTERITIS Y COLITIS INFECCIOSA
009.1;GASTRITIS,ENTERITIS Y COLITIS PRESUNTAMENTE INFECCIOSA
009.2;DIARREA INFECCIOSA NEOM
009.3;DIARREA PRESUNTAMENTE INFECCIOSA
10;TUBERCULOSIS INFECCION PRIMARIA
010.0;TUBERCULOSIS COMPLEJO PRIMARIO (+)
010.00;TUBERCULOSIS COMPLEJO PRIMARIO.NEOM
010.01;TUBERCULOSIS COMPLEJO PRIMARIO.EXAMEN SIN REALIZAR
010.02;TUBERCULOSIS COMPLEJO PRIMARIO.RESULTADO DESCONOCIDO
010.03;TUBERCULOSIS COMPLEJO PRIMARIO.BACILO EN ESPUTO
